,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
3860,Kepler-878 b,2582.0,4.38 Earths,14.967,2016,Super Earth,1.93 x Earth,0.165 AU,25.9 days,0,Kepler-928,Transit,4700.0,0.7,0.73,19h19m40.96s,+41d32m33.99s
3861,Kepler-879 b,2618.0,7.13 Earths,14.429,2016,Neptune-like,0.229 x Jupiter,0.2012 AU,33.4 days,0,Kepler-929,Transit,5869.0,1.02,1.01,19h53m55.46s,+41d36m54.94s
3862,Kepler-88 d,1229.0,3.05046 Jupiters,13.209,2020,Gas Giant,1.17 x Jupiter,Unknown,3.8 years,0.41,Kepler-93,Transit,5669.0,0.98,1.09,19h25m40.35s,+38d40m20.32s
3863,Kepler-880 b,1962.0,7.56 Earths,11.845,2016,Neptune-like,0.237 x Jupiter,0.0915 AU,7.7 days,0,Kepler-93,Radial Velocity,5669.0,0.92,0.91,19h25m40.35s,+38d40m20.32s
3864,Kepler-881 b,4486.0,3.82 Earths,15.281,2016,Super Earth,1.78 x Earth,0.0552 AU,4.4 days,0,Kepler-930,Transit,6335.0,1.4,1.25,19h53m15.47s,+42d14m50.53s
3865,Kepler-882 b,1646.0,2.04 Earths,14.188,2016,Super Earth,1.23 x Earth,0.0449 AU,4 days,0,Kepler-931,Transit,5241.0,0.81,0.86,19h48m31.85s,+42d46m05.84s
3866,Kepler-883 b,2047.0,3.82 Earths,13.169,2016,Super Earth,1.78 x Earth,0.1055 AU,13 days,0,Kepler-932,Transit,5331.0,0.84,0.87,19h47m48.50s,+43d16m19.28s
3867,Kepler-884 b,1555.0,2.04 Earths,13.164,2016,Super Earth,1.23 x Earth,0.0622 AU,5.7 days,0,Kepler-933,Transit,5346.0,0.84,0.87,19h18m16.45s,+43d32m18.76s
3868,Kepler-885 b,2125.0,6.8 Earths,12.948,2016,Neptune-like,0.223 x Jupiter,0.1432 AU,18.1 days,0,Kepler-934,Transit,5001.0,0.77,0.81,19h21m09.23s,+43d45m18.94s
3869,Kepler-886 b,2320.0,2.92 Earths,14.054,2016,Super Earth,1.52 x Earth,0.067 AU,6.2 days,0,Kepler-935,Transit,4830.0,0.73,0.78,19h40m05.21s,+46d37m09.12s
3870,Kepler-887 b,2892.0,4.04 Earths,13.52,2016,Super Earth,1.84 x Earth,0.1536 AU,20.4 days,0,Kepler-936,Transit,5482.0,0.89,0.92,19h34m18.67s,+46d44m10.66s
3871,Kepler-887 c,2892.0,1.51 Earths,13.52,2016,Super Earth,1.13 x Earth,0.0797 AU,7.6 days,0,Kepler-937,Transit,6095.0,1.22,1.15,19h36m40.52s,+46d42m52.62s
3872,Kepler-888 b,1373.0,3.75 Earths,13.061,2016,Super Earth,1.76 x Earth,0.328 AU,70.7 days,0,Kepler-937,Transit,6095.0,1.22,1.15,19h36m40.52s,+46d42m52.62s
3873,Kepler-889 b,1952.0,1.32 Earths,12.998,2016,Super Earth,1.09 x Earth,0.0492 AU,3.7 days,0,Kepler-938,Transit,5533.0,0.89,0.92,19h39m09.37s,+46d59m02.17s
3874,Kepler-890 b,5585.0,0.184 Jupiters,15.235,2016,Gas Giant,0.793 x Jupiter,0.2944 AU,52.8 days,0,Kepler-939,Transit,5471.0,0.85,0.88,19h35m27.75s,+47d01m36.53s
3875,Kepler-891 b,7635.0,33.6 Earths,15.386,2016,Neptune-like,0.572 x Jupiter,0.2881 AU,53.4 days,0,Kepler-94,Transit,4781.0,0.76,0.81,18h44m46.74s,+47d29m50.14s
3876,Kepler-892 b,1862.0,8.3 Earths,15.967,2016,Neptune-like,0.251 x Jupiter,0.1015 AU,13.8 days,0,Kepler-94,Radial Velocity,4781.0,0.76,0.81,18h44m46.74s,+47d29m50.14s
3877,Kepler-893 b,4194.0,9.43 Earths,15.347,2016,Neptune-like,0.27 x Jupiter,0.0699 AU,6.3 days,0,Kepler-940,Transit,5769.0,0.96,0.97,19h36m57.91s,+47d16m33.47s
3878,Kepler-894 b,3793.0,8.15 Earths,15.686,2016,Neptune-like,0.248 x Jupiter,0.0916 AU,9.8 days,0,Kepler-941,Transit,5539.0,0.86,0.89,19h37m18.30s,+47d13m03.17s
3879,Kepler-895 b,1762.0,2.99 Earths,16.21,2016,Super Earth,1.54 x Earth,0.0328 AU,2.8 days,0,Kepler-942,Transit,4861.0,0.75,0.81,19h39m49.22s,+44d08m59.83s
3880,Kepler-896 b,7617.0,6.94 Earths,15.457,2016,Neptune-like,0.226 x Jupiter,0.5164 AU,144.5 days,0,Kepler-943,Transit,5612.0,0.91,0.93,18h57m05.74s,+41d32m05.93s
3881,Kepler-897 b,4956.0,6.3 Earths,15.177,2016,Neptune-like,0.213 x Jupiter,0.077 AU,8 days,0,Kepler-944,Transit,5409.0,0.83,0.86,19h34m24.31s,+42d22m47.25s
3882,Kepler-898 b,1582.0,2.83 Earths,16.695,2016,Super Earth,1.49 x Earth,0.0545 AU,5.9 days,0,Kepler-945,Transit,5718.0,0.97,0.97,19h25m04.74s,+42d05m45.71s
3883,Kepler-899 b,4066.0,7.65 Earths,15.713,2016,Neptune-like,0.239 x Jupiter,0.1392 AU,19.2 days,0,Kepler-946,Transit,5665.0,0.93,0.94,20h03m43.09s,+44d01m43.22s
3884,Kepler-9 b,2049.0,0.13655 Jupiters,13.922,2010,Gas Giant,0.74 x Jupiter,0.143 AU,19.2 days,0.06,Kepler-947,Transit,5508.0,0.87,0.9,19h37m28.02s,+42d15m09.51s
3885,Kepler-9 c,2049.0,29.9 Earths,13.922,2010,Neptune-like,0.721 x Jupiter,0.227 AU,39 days,0.07,Kepler-948,Transit,5679.0,0.94,0.96,19h33m12.07s,+41d31m23.97s
3886,Kepler-9 d,2049.0,3.33 Earths,13.922,2010,Super Earth,1.64 x Earth,0.0273 AU,1.6 days,0,Kepler-949,Transit,5403.0,0.86,0.89,19h54m25.90s,+46d27m13.18s
3887,Kepler-90 i,2767.0,2.3 Earths,13.883,2017,Super Earth,1.32 x Earth,Unknown,14.4 days,0,Kepler-95,Transit,5699.0,1.41,1.08,18h57m55.78s,+44d23m52.41s
3888,Kepler-900 b,1590.0,4.98 Earths,15.19,2016,Super Earth,2.08 x Earth,0.0679 AU,7 days,0,Kepler-950,Transit,5857.0,1.02,1.02,19h11m49.58s,+41d07m49.02s
