,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
2724,Kepler-224 e,2551.0,4.54 Earths,15.801,2014,Super Earth,1.97 x Earth,0.124 AU,18.6 days,0,Kepler-246,Transit,5206.0,0.83,0.79,19h45m56.02s,+42d39m48.17s
2725,Kepler-225 b,1830.0,1.87 Earths,16.294,2014,Super Earth,1.2 x Earth,0.056 AU,6.7 days,0,Kepler-247,Transit,5100.0,0.77,0.84,19h14m34.21s,+43d02m21.76s
2726,Kepler-225 c,1830.0,4.04 Earths,16.294,2014,Super Earth,1.84 x Earth,0.111 AU,18.8 days,0,Kepler-247,Transit,5100.0,0.77,0.84,19h14m34.21s,+43d02m21.76s
2727,Kepler-226 b,3197.0,24 Earths,15.563,2014,Super Earth,1.55 x Earth,0.047 AU,3.9 days,0,Kepler-247,Transit,5100.0,0.77,0.84,19h14m34.21s,+43d02m21.76s
2728,Kepler-226 c,3197.0,0.142 Jupiters,15.563,2014,Super Earth,0.203 x Jupiter,0.058 AU,5.3 days,0,Kepler-248,Transit,5190.0,0.83,0.9,19h32m14.72s,+43d34m52.89s
2729,Kepler-226 d,3197.0,1.98 Earths,15.563,2014,Super Earth,1.22 x Earth,0.076 AU,8.1 days,0,Kepler-248,Transit,5190.0,0.83,0.9,19h32m14.72s,+43d34m52.89s
2730,Kepler-227 b,3533.0,9.85 Earths,15.623,2014,Neptune-like,0.277 x Jupiter,0.09 AU,9.5 days,0,Kepler-249,Transit,3568.0,0.48,0.51,19h47m56.47s,+43d39m30.98s
2731,Kepler-227 c,3533.0,9.48 Earths,15.623,2014,Neptune-like,0.271 x Jupiter,0.29 AU,54.4 days,0,Kepler-249,Transit,3568.0,0.48,0.51,19h47m56.47s,+43d39m30.98s
2732,Kepler-228 b,5365.0,2.96 Earths,15.902,2014,Super Earth,1.53 x Earth,0.038 AU,2.6 days,0,Kepler-249,Transit,3568.0,0.48,0.51,19h47m56.47s,+43d39m30.98s
2733,Kepler-228 c,5365.0,7.75 Earths,15.902,2014,Neptune-like,0.241 x Jupiter,0.052 AU,4.1 days,0,Kepler-25,Transit,6103.0,1.32,1.17,19h06m33.21s,+39d29m16.45s
2734,Kepler-228 d,5365.0,15.4 Earths,15.902,2014,Neptune-like,0.36 x Jupiter,0.101 AU,11.1 days,0,Kepler-25,Transit,6354.0,1.32,1.17,19h06m33.21s,+39d29m16.45s
2735,Kepler-229 b,2695.0,5.48 Earths,16.22,2014,Neptune-like,2.2 x Earth,0.062 AU,6.3 days,0,Kepler-25,Radial Velocity,6270.0,1.32,1.17,19h06m33.21s,+39d29m16.45s
2736,Kepler-229 c,2695.0,21.5 Earths,16.22,2014,Neptune-like,0.439 x Jupiter,0.117 AU,16.1 days,0,Kepler-250,Transit,5160.0,0.81,0.83,19h18m22.74s,+44d08m30.52s
2737,Kepler-229 d,2695.0,14.2 Earths,16.22,2014,Neptune-like,0.343 x Jupiter,0.22 AU,41.2 days,0,Kepler-250,Transit,5160.0,0.81,0.83,19h18m22.74s,+44d08m30.52s
2738,Kepler-23 b,2726.0,0.8 Jupiters,13.567,2011,Neptune-like,1.9 x Earth,0.075 AU,7.1 days,0.06,Kepler-250,Transit,5160.0,0.81,0.83,19h18m22.74s,+44d08m30.52s
2739,Kepler-23 c,2726.0,2.7 Jupiters,13.567,2011,Neptune-like,0.285 x Jupiter,0.099 AU,10.7 days,0.02,Kepler-251,Transit,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
2740,Kepler-23 d,2726.0,17.6 Earths,13.567,2014,Super Earth,2.2 x Earth,0.124 AU,15.3 days,0.08,Kepler-251,Transit,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
2741,Kepler-230 b,2416.0,16.8 Earths,15.264,2014,Neptune-like,0.38 x Jupiter,0.191 AU,32.6 days,0,Kepler-251,Transit,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
2742,Kepler-230 c,2416.0,4.82 Earths,15.264,2014,Super Earth,2.04 x Earth,0.38 AU,91.8 days,0,Kepler-251,Transit,5526.0,0.89,0.95,19h46m15.89s,+44d06m20.91s
2743,Kepler-231 b,1033.0,35.4 Earths,15.813,2014,Super Earth,1.73 x Earth,0.074 AU,10.1 days,0,Kepler-252,Transit,4208.0,0.55,0.61,19h42m19.04s,+44d32m45.26s
2744,Kepler-231 c,1033.0,24.1 Earths,15.813,2014,Super Earth,1.93 x Earth,0.114 AU,19.3 days,0,Kepler-252,Transit,4208.0,0.55,0.61,19h42m19.04s,+44d32m45.26s
2745,Kepler-232 b,4401.0,9.69 Earths,15.565,2014,Neptune-like,0.275 x Jupiter,0.054 AU,4.4 days,0,Kepler-253,Transit,5208.0,0.79,0.85,19h27m22.06s,+44d51m29.25s
2746,Kepler-232 c,4401.0,14 Earths,15.565,2014,Neptune-like,0.342 x Jupiter,0.101 AU,11.4 days,0,Kepler-253,Transit,5208.0,0.79,0.85,19h27m22.06s,+44d51m29.25s
2747,Kepler-233 b,2794.0,6.48 Earths,15.477,2014,Neptune-like,0.217 x Jupiter,0.077 AU,8.5 days,0,Kepler-253,Transit,5208.0,0.79,0.85,19h27m22.06s,+44d51m29.25s
2748,Kepler-233 c,2794.0,7.8 Earths,15.477,2014,Neptune-like,0.242 x Jupiter,0.287 AU,60.4 days,0,Kepler-254,Transit,5957.0,0.91,0.93,19h12m39.52s,+45d48m59.13s
2749,Kepler-234 b,5653.0,13.2 Earths,15.747,2014,Neptune-like,0.33 x Jupiter,0.04 AU,2.7 days,0,Kepler-254,Transit,5957.0,0.91,0.93,19h12m39.52s,+45d48m59.13s
2750,Kepler-234 c,5653.0,12.1 Earths,15.747,2014,Neptune-like,0.313 x Jupiter,0.077 AU,7.2 days,0,Kepler-254,Transit,5957.0,0.91,0.93,19h12m39.52s,+45d48m59.13s
2751,Kepler-235 b,1396.0,5.6 Earths,16.567,2014,Neptune-like,2.23 x Earth,0.037 AU,3.3 days,0,Kepler-255,Transit,5573.0,0.93,0.87,19h44m15.42s,+45d58m36.35s
2752,Kepler-235 c,1396.0,2.18 Earths,16.567,2014,Super Earth,1.28 x Earth,0.065 AU,7.8 days,0,Kepler-255,Transit,5573.0,0.93,0.87,19h44m15.42s,+45d58m36.35s
2753,Kepler-235 d,1396.0,4.86 Earths,16.567,2014,Super Earth,2.05 x Earth,0.122 AU,20.1 days,0,Kepler-255,Transit,5431.0,0.86,0.9,19h44m15.42s,+45d58m36.35s
2754,Kepler-235 e,1396.0,5.56 Earths,16.567,2014,Neptune-like,2.22 x Earth,0.213 AU,46.2 days,0,Kepler-256,Transit,5551.0,1.3,0.97,19h30m19.30s,+46d05m50.49s
2755,Kepler-236 b,942.0,3.09 Earths,16.014,2014,Super Earth,1.57 x Earth,0.065 AU,8.3 days,0,Kepler-256,Transit,5551.0,1.3,0.97,19h30m19.30s,+46d05m50.49s
2756,Kepler-236 c,942.0,4.66 Earths,16.014,2014,Super Earth,2.0 x Earth,0.132 AU,24 days,0,Kepler-256,Transit,5551.0,1.3,0.97,19h30m19.30s,+46d05m50.49s
2757,Kepler-237 b,2146.0,2.57 Earths,15.689,2014,Super Earth,1.41 x Earth,0.05 AU,4.7 days,0,Kepler-256,Transit,5551.0,1.3,0.97,19h30m19.30s,+46d05m50.49s
2758,Kepler-237 c,2146.0,4.98 Earths,15.689,2014,Super Earth,2.08 x Earth,0.071 AU,8.1 days,0,Kepler-257,Transit,5180.0,1.04,0.85,19h49m15.84s,+46d01m23.75s
2759,Kepler-238 b,5868.0,3.64 Earths,15.297,2014,Super Earth,1.73 x Earth,0.034 AU,2.1 days,0,Kepler-257,Transit,5180.0,1.04,0.85,19h49m15.84s,+46d01m23.75s
2760,Kepler-238 c,5868.0,6.3 Earths,15.297,2014,Neptune-like,0.213 x Jupiter,0.069 AU,6.2 days,0,Kepler-257,Transit,5180.0,1.04,0.85,19h49m15.84s,+46d01m23.75s
2761,Kepler-238 d,5868.0,9.64 Earths,15.297,2014,Neptune-like,0.274 x Jupiter,0.115 AU,13.2 days,0,Kepler-258,Transit,4942.0,0.92,0.82,19h36m16.42s,+46d34m44.89s
2762,Kepler-238 e,5868.0,0.534 Jupiters,15.297,2013,Neptune-like,0.5 x Jupiter,0.1658 AU,23.7 days,0,Kepler-258,Transit,4942.0,0.92,0.82,19h36m16.42s,+46d34m44.89s
2763,Kepler-238 f,5868.0,13.5 Earths,15.297,2013,Super Earth,2.0 x Earth,0.2747 AU,50.4 days,0,Kepler-259,Transit,5938.0,0.9,0.93,19h12m50.87s,+46d36m54.17s
2764,Kepler-239 b,2114.0,6.04 Earths,15.252,2014,Neptune-like,0.208 x Jupiter,0.095 AU,11.8 days,0,Kepler-259,Transit,5938.0,0.9,0.93,19h12m50.87s,+46d36m54.17s
2765,Kepler-239 c,2114.0,6.85 Earths,15.252,2014,Neptune-like,0.224 x Jupiter,0.268 AU,56.2 days,0,Kepler-26,Transit,3914.0,0.51,0.54,18h59m45.86s,+46d33m59.22s
2766,Kepler-24 b,3774.0,1.6 Jupiters,15.04,2011,Neptune-like,0.214 x Jupiter,0.08 AU,8.1 days,0,Kepler-26,Transit,3914.0,0.51,0.54,18h59m45.86s,+46d33m59.22s
2767,Kepler-24 c,3774.0,1.6 Jupiters,15.04,2011,Neptune-like,0.25 x Jupiter,0.106 AU,12.3 days,0,Kepler-26,Transit,4486.0,0.57,0.62,18h59m45.86s,+46d33m59.22s
2768,Kepler-24 d,3774.0,3.43 Earths,15.04,2014,Super Earth,1.67 x Earth,0.051 AU,4.2 days,0,Kepler-26,Transit,4486.0,0.57,0.62,18h59m45.86s,+46d33m59.22s
2769,Kepler-24 e,3774.0,8.15 Earths,15.04,2014,Neptune-like,0.248 x Jupiter,0.138 AU,19 days,0,Kepler-260,Transit,5250.0,0.86,0.92,19h27m42.23s,+38d00m50.59s
2770,Kepler-240 b,2436.0,2.45 Earths,15.953,2014,Super Earth,1.37 x Earth,0.048 AU,4.1 days,0,Kepler-260,Transit,5250.0,0.86,0.92,19h27m42.23s,+38d00m50.59s
2771,Kepler-240 c,2436.0,0.322 Jupiters,15.953,2014,Super Earth,2.2 x Earth,0.074 AU,8 days,0,Kepler-261,Transit,5098.0,0.79,0.88,19h25m27.54s,+37d36m33.26s
2772,Kepler-241 b,1670.0,6.04 Earths,15.708,2014,Neptune-like,0.208 x Jupiter,0.094 AU,12.7 days,0,Kepler-261,Transit,5098.0,0.79,0.88,19h25m27.54s,+37d36m33.26s
2773,Kepler-241 c,1670.0,7.13 Earths,15.708,2014,Neptune-like,0.229 x Jupiter,0.189 AU,36.1 days,0,Kepler-262,Transit,5841.0,0.88,0.99,19h22m54.89s,+37d15m09.57s
2774,Kepler-242 b,1958.0,7.32 Earths,15.489,2014,Neptune-like,0.233 x Jupiter,0.075 AU,8.2 days,0,Kepler-262,Transit,5841.0,0.88,0.99,19h22m54.89s,+37d15m09.57s
2775,Kepler-242 c,1958.0,4.66 Earths,15.489,2014,Super Earth,2.0 x Earth,0.109 AU,14.5 days,0,Kepler-263,Transit,5265.0,0.79,0.8,19h29m52.75s,+37d34m04.06s
2776,Kepler-243 b,2263.0,6.57 Earths,15.159,2014,Neptune-like,0.219 x Jupiter,0.062 AU,5.7 days,0,Kepler-263,Transit,5265.0,0.79,0.8,19h29m52.75s,+37d34m04.06s
2777,Kepler-243 c,2263.0,4.62 Earths,15.159,2014,Super Earth,1.99 x Earth,0.142 AU,20 days,0,Kepler-264,Transit,6158.0,1.55,1.46,19h28m10.71s,+37d22m34.27s
2778,Kepler-244 b,3381.0,8.05 Earths,15.747,2014,Neptune-like,0.246 x Jupiter,0.05 AU,4.3 days,0,Kepler-264,Transit,6158.0,1.55,1.46,19h28m10.71s,+37d22m34.27s
2779,Kepler-244 c,3381.0,4.86 Earths,15.747,2014,Super Earth,2.05 x Earth,0.087 AU,9.8 days,0,Kepler-265,Transit,5835.0,1.1,0.98,19h22m02.51s,+41d14m41.07s
2780,Kepler-244 d,3381.0,15.2 Earths,15.747,2014,Super Earth,0.206 x Jupiter,0.14 AU,20.1 days,0,Kepler-265,Transit,5835.0,1.1,0.98,19h22m02.51s,+41d14m41.07s
2781,Kepler-245 b,2810.0,7.13 Earths,15.546,2014,Neptune-like,0.229 x Jupiter,0.071 AU,7.5 days,0,Kepler-265,Transit,5835.0,1.1,0.98,19h22m02.51s,+41d14m41.07s
2782,Kepler-245 c,2810.0,0.71 Jupiters,15.546,2014,Super Earth,2.18 x Earth,0.124 AU,17.5 days,0,Kepler-265,Transit,5835.0,1.1,0.98,19h22m02.51s,+41d14m41.07s
2783,Kepler-245 d,2810.0,21.6 Earths,15.546,2014,Neptune-like,0.27 x Jupiter,0.202 AU,36.3 days,0,Kepler-266,Transit,5885.0,1.03,0.95,19h37m56.25s,+44d10m00.97s
2784,Kepler-245 e,2810.0,3.71 Earths,15.546,2016,Super Earth,1.75 x Earth,0.04 AU,3.2 days,0,Kepler-266,Transit,5885.0,1.03,0.95,19h37m56.25s,+44d10m00.97s
2785,Kepler-246 b,2042.0,6.08 Earths,15.197,2014,Neptune-like,0.209 x Jupiter,0.052 AU,4.6 days,0,Kepler-267,Transit,4258.0,0.56,0.54,19h59m19.34s,+47d09m27.27s
2786,Kepler-246 c,2042.0,2.86 Earths,15.197,2014,Super Earth,1.5 x Earth,0.095 AU,11.2 days,0,Kepler-267,Transit,4258.0,0.56,0.54,19h59m19.34s,+47d09m27.27s
2787,Kepler-247 b,2165.0,3.33 Earths,15.199,2014,Super Earth,1.64 x Earth,0.042 AU,3.3 days,0,Kepler-267,Transit,4258.0,0.56,0.54,19h59m19.34s,+47d09m27.27s
2788,Kepler-247 c,2165.0,15.7 Earths,15.199,2014,Neptune-like,0.365 x Jupiter,0.084 AU,9.4 days,0,Kepler-268,Transit,6081.0,1.27,1.13,19h27m54.28s,+38d03m18.12s
2789,Kepler-247 d,2165.0,14.7 Earths,15.199,2014,Neptune-like,0.352 x Jupiter,0.14 AU,20.5 days,0,Kepler-268,Transit,6081.0,1.27,1.13,19h27m54.28s,+38d03m18.12s
2790,Kepler-248 b,2410.0,9.38 Earths,15.506,2014,Neptune-like,0.269 x Jupiter,0.066 AU,6.3 days,0,Kepler-269,Transit,5847.0,0.96,0.92,19h20m51.64s,+41d46m33.53s
2791,Kepler-248 c,2410.0,15.6 Earths,15.506,2014,Neptune-like,0.363 x Jupiter,0.123 AU,16.2 days,0,Kepler-269,Transit,5847.0,0.96,0.92,19h20m51.64s,+41d46m33.53s
2792,Kepler-249 b,621.0,1.32 Earths,16.37,2014,Super Earth,1.09 x Earth,0.035 AU,3.3 days,0,Kepler-27,Transit,5400.0,0.59,0.65,19h28m56.82s,+41d05m09.14s
2793,Kepler-249 c,621.0,2.89 Earths,16.37,2014,Super Earth,1.51 x Earth,0.058 AU,7.1 days,0,Kepler-27,Transit,5400.0,0.59,0.65,19h28m56.82s,+41d05m09.14s
2794,Kepler-249 d,621.0,3.09 Earths,16.37,2014,Super Earth,1.57 x Earth,0.097 AU,15.4 days,0,Kepler-270,Transit,6067.0,1.46,1.17,18h48m48.03s,+44d25m20.21s
2795,Kepler-25 b,793.0,8.7 Earths,10.769,2011,Neptune-like,0.245 x Jupiter,0.0685 AU,6.2 days,0,Kepler-270,Transit,6067.0,1.46,1.17,18h48m48.03s,+44d25m20.21s
2796,Kepler-25 c,793.0,15.2 Earths,10.769,2011,Neptune-like,0.465 x Jupiter,0.1101 AU,12.7 days,0.01,Kepler-271,Transit,5555.0,0.87,0.9,18h52m00.70s,+44d17m02.79s
2797,Kepler-25 d,793.0,0.226 Jupiters,10.769,2014,Gas Giant,0.894 x Jupiter,Unknown,122.4 days,0.13,Kepler-271,Transit,5555.0,0.87,0.9,18h52m00.70s,+44d17m02.79s
2798,Kepler-250 b,2481.0,1.51 Earths,15.819,2014,Super Earth,1.13 x Earth,0.048 AU,4.1 days,0,Kepler-271,Transit,5555.0,0.87,0.9,18h52m00.70s,+44d17m02.79s
2799,Kepler-250 c,2481.0,5.82 Earths,15.819,2014,Neptune-like,0.203 x Jupiter,0.069 AU,7.2 days,0,Kepler-272,Transit,5297.0,0.93,0.86,19h56m30.61s,+47d35m37.79s
2800,Kepler-250 d,2481.0,5.39 Earths,15.819,2014,Neptune-like,2.18 x Earth,0.127 AU,17.6 days,0,Kepler-272,Transit,5297.0,0.93,0.86,19h56m30.61s,+47d35m37.79s
2801,Kepler-251 b,3016.0,2.33 Earths,15.541,2014,Super Earth,1.33 x Earth,0.053 AU,4.8 days,0,Kepler-272,Transit,5297.0,0.93,0.86,19h56m30.61s,+47d35m37.79s
2802,Kepler-251 c,3016.0,8.1 Earths,15.541,2014,Neptune-like,0.247 x Jupiter,0.122 AU,16.5 days,0,Kepler-273,Transit,5626.0,0.81,0.94,19h25m12.51s,+47d41m51.57s
2803,Kepler-251 d,3016.0,8.1 Earths,15.541,2014,Neptune-like,0.247 x Jupiter,0.182 AU,30.1 days,0,Kepler-273,Transit,5626.0,0.81,0.94,19h25m12.51s,+47d41m51.57s
2804,Kepler-251 e,3016.0,8.1 Earths,15.541,2014,Neptune-like,0.247 x Jupiter,0.404 AU,99.6 days,0,Kepler-274,Transit,6023.0,1.01,1.08,19h31m41.47s,+38d28m37.98s
2805,Kepler-252 b,1238.0,2.04 Earths,15.406,2014,Super Earth,1.23 x Earth,0.058 AU,6.7 days,0,Kepler-274,Transit,6023.0,1.01,1.08,19h31m41.47s,+38d28m37.98s
2806,Kepler-252 c,1238.0,5.27 Earths,15.406,2014,Neptune-like,2.15 x Earth,0.08 AU,10.8 days,0,Kepler-275,Transit,6165.0,1.38,1.16,19h29m55.13s,+38d30m53.65s
2807,Kepler-253 b,2735.0,3.29 Earths,15.778,2014,Super Earth,1.63 x Earth,0.046 AU,3.8 days,0,Kepler-275,Transit,6165.0,1.38,1.16,19h29m55.13s,+38d30m53.65s
2808,Kepler-253 c,2735.0,7.51 Earths,15.778,2014,Neptune-like,0.236 x Jupiter,0.089 AU,10.3 days,0,Kepler-275,Transit,6165.0,1.38,1.16,19h29m55.13s,+38d30m53.65s
2809,Kepler-253 d,2735.0,10.2 Earths,15.778,2014,Neptune-like,0.283 x Jupiter,0.13 AU,18.1 days,0,Kepler-276,Transit,6105.0,1.05,1.04,19h34m16.37s,+39d02m10.72s
2810,Kepler-254 b,4532.0,14.3 Earths,16.012,2014,Neptune-like,0.345 x Jupiter,0.064 AU,5.8 days,0,Kepler-276,Transit,5779.0,1.03,1.1,19h34m16.37s,+39d02m10.72s
2811,Kepler-254 c,4532.0,3.2 Earths,16.012,2014,Neptune-like,2.15 x Earth,0.105 AU,12.4 days,0,Kepler-276,Transit,5779.0,1.03,1.1,19h34m16.37s,+39d02m10.72s
2812,Kepler-254 d,4532.0,6.8 Earths,16.012,2014,Neptune-like,0.223 x Jupiter,0.139 AU,18.7 days,0,Kepler-277,Transit,5946.0,1.69,1.12,19h06m19.97s,+39d04m38.13s
2813,Kepler-255 b,3433.0,3.02 Earths,15.699,2014,Super Earth,1.55 x Earth,0.063 AU,5.7 days,0,Kepler-277,Transit,5946.0,1.69,1.12,19h06m19.97s,+39d04m38.13s
2814,Kepler-255 c,3433.0,9.22 Earths,15.699,2014,Neptune-like,0.267 x Jupiter,0.092 AU,9.9 days,0,Kepler-278,Transit,4991.0,2.94,1.08,19h20m25.73s,+38d42m08.17s
2815,Kepler-255 d,3433.0,2.3 Earths,15.699,2016,Super Earth,1.32 x Earth,0.0192 AU,1 days,0,Kepler-278,Transit,4991.0,2.94,1.08,19h20m25.73s,+38d42m08.17s
2816,Kepler-256 b,3348.0,3.15 Earths,15.178,2014,Super Earth,1.59 x Earth,0.027 AU,1.6 days,0,Kepler-279,Transit,6363.0,1.75,1.16,19h09m33.91s,+42d11m41.36s
2817,Kepler-256 c,3348.0,5.27 Earths,15.178,2014,Neptune-like,2.15 x Earth,0.045 AU,3.4 days,0,Kepler-279,Transit,6689.45,1.07,1.1,19h09m33.91s,+42d11m41.36s
2818,Kepler-256 d,3348.0,6.71 Earths,15.178,2014,Neptune-like,0.221 x Jupiter,0.064 AU,5.8 days,0,Kepler-279,Transit,6689.45,1.07,1.1,19h09m33.91s,+42d11m41.36s
2819,Kepler-256 e,3348.0,6.12 Earths,15.178,2014,Neptune-like,0.21 x Jupiter,0.096 AU,10.7 days,0,Kepler-28,Transit,4590.0,0.7,0.75,19h28m32.89s,+42d25m46.14s
2820,Kepler-257 b,2545.0,7.32 Earths,15.652,2014,Neptune-like,0.233 x Jupiter,0.034 AU,2.4 days,0,Kepler-28,Transit,4590.0,0.7,0.75,19h28m32.89s,+42d25m46.14s
2821,Kepler-257 c,2545.0,25.2 Earths,15.652,2014,Neptune-like,0.483 x Jupiter,0.066 AU,6.6 days,0,Kepler-280,Transit,5744.0,0.89,0.96,19h25m33.73s,+42d10m49.70s
2822,Kepler-257 d,2545.0,21.7 Earths,15.652,2014,Neptune-like,0.442 x Jupiter,0.16 AU,24.7 days,0,Kepler-280,Transit,5744.0,0.89,0.96,19h25m33.73s,+42d10m49.70s
2823,Kepler-258 b,1879.0,15.5 Earths,15.49,2014,Neptune-like,0.362 x Jupiter,0.103 AU,13.2 days,0,Kepler-281,Transit,5723.0,0.9,0.95,19h36m25.96s,+44d46m14.35s
2824,Kepler-258 c,1879.0,12.7 Earths,15.49,2014,Neptune-like,0.322 x Jupiter,0.193 AU,33.7 days,0,Kepler-281,Transit,5723.0,0.9,0.95,19h36m25.96s,+44d46m14.35s
2825,Kepler-259 b,3269.0,8.25 Earths,15.378,2014,Neptune-like,0.25 x Jupiter,0.079 AU,8.1 days,0,Kepler-282,Transit,5602.0,0.9,0.79,18h58m42.54s,+44d47m51.50s
2826,Kepler-259 c,3269.0,7.75 Earths,15.378,2014,Neptune-like,0.241 x Jupiter,0.217 AU,36.9 days,0,Kepler-282,Transit,5602.0,0.9,0.79,18h58m42.54s,+44d47m51.50s
2827,Kepler-26 b,1094.0,5.12 Earths,15.853,2011,Neptune-like,0.248 x Jupiter,0.08551 AU,12.3 days,0,Kepler-282,Transit,5699.0,0.89,0.97,18h58m42.54s,+44d47m51.50s
2828,Kepler-26 c,1094.0,6.2 Earths,15.853,2011,Neptune-like,0.243 x Jupiter,0.10725 AU,17.3 days,0,Kepler-282,Transit,5699.0,0.89,0.97,18h58m42.54s,+44d47m51.50s
2829,Kepler-26 d,1094.0,1.24 Earths,15.853,2014,Super Earth,1.07 x Earth,0.039 AU,3.5 days,0,Kepler-283,Transit,4351.0,0.57,0.6,19h34m27.30s,+47d50m20.18s
2830,Kepler-26 e,1094.0,6.39 Earths,15.853,2014,Neptune-like,0.215 x Jupiter,0.22 AU,46.8 days,0,Kepler-283,Transit,4351.0,0.57,0.6,19h34m27.30s,+47d50m20.18s
2831,Kepler-260 b,2046.0,4.7 Earths,14.253,2014,Super Earth,2.01 x Earth,0.075 AU,8.2 days,0,Kepler-284,Transit,5615.0,0.81,0.92,19h32m35.18s,+47d43m46.94s
2832,Kepler-260 c,2046.0,3.68 Earths,14.253,2014,Super Earth,1.74 x Earth,0.332 AU,76.1 days,0,Kepler-284,Transit,5615.0,0.81,0.92,19h32m35.18s,+47d43m46.94s
2833,Kepler-261 b,1036.0,5.39 Earths,13.738,2014,Neptune-like,2.18 x Earth,0.088 AU,10.4 days,0,Kepler-285,Transit,5411.0,0.81,0.82,19h25m33.80s,+48d03m55.94s
2834,Kepler-261 c,1036.0,4.66 Earths,13.738,2014,Super Earth,2.0 x Earth,0.156 AU,24.6 days,0,Kepler-285,Transit,5411.0,0.81,0.82,19h25m33.80s,+48d03m55.94s
2835,Kepler-262 b,2000.0,2.42 Earths,14.478,2014,Super Earth,1.36 x Earth,0.108 AU,13.1 days,0,Kepler-286,Transit,5580.0,0.86,0.96,19h22m42.28s,+48d17m39.25s
2836,Kepler-262 c,2000.0,3.33 Earths,14.478,2014,Super Earth,1.64 x Earth,0.152 AU,21.9 days,0,Kepler-286,Transit,5580.0,0.86,0.96,19h22m42.28s,+48d17m39.25s
2837,Kepler-263 b,2462.0,7.61 Earths,15.435,2014,Neptune-like,0.238 x Jupiter,0.12 AU,16.6 days,0,Kepler-286,Transit,5580.0,0.86,0.96,19h22m42.28s,+48d17m39.25s
2838,Kepler-263 c,2462.0,6.66 Earths,15.435,2014,Neptune-like,0.22 x Jupiter,0.242 AU,47.3 days,0,Kepler-286,Transit,5580.0,0.86,0.96,19h22m42.28s,+48d17m39.25s
2839,Kepler-264 b,3073.0,11.1 Earths,13.15,2014,Neptune-like,0.297 x Jupiter,0.249 AU,40.8 days,0,Kepler-287,Transit,5806.0,1.03,0.97,19h23m42.58s,+48d26m36.45s
2840,Kepler-264 c,3073.0,8.4 Earths,13.15,2014,Neptune-like,0.252 x Jupiter,0.566 AU,140.1 days,0,Kepler-287,Transit,5806.0,1.03,0.97,19h23m42.58s,+48d26m36.45s
2841,Kepler-265 b,4176.0,4.12 Earths,15.47,2014,Super Earth,1.86 x Earth,0.069 AU,6.8 days,0,Kepler-288,Transit,5918.0,1.09,1.03,19h15m39.94s,+39d35m41.11s
2842,Kepler-265 c,4176.0,7.41 Earths,15.47,2014,Neptune-like,0.235 x Jupiter,0.127 AU,17 days,0,Kepler-288,Transit,5918.0,1.09,1.03,19h15m39.94s,+39d35m41.11s
2843,Kepler-265 d,4176.0,6.76 Earths,15.47,2014,Neptune-like,0.222 x Jupiter,0.236 AU,43.1 days,0,Kepler-288,Transit,5918.0,1.09,1.03,19h15m39.94s,+39d35m41.11s
2844,Kepler-265 e,4176.0,7.22 Earths,15.47,2014,Neptune-like,0.231 x Jupiter,0.319 AU,67.8 days,0,Kepler-289,Transit,5990.0,1.0,1.08,19h49m51.68s,+42d52m58.27s
2845,Kepler-266 b,4472.0,6.71 Earths,15.787,2014,Neptune-like,0.221 x Jupiter,0.071 AU,6.6 days,0,Kepler-289,Transit,5990.0,1.0,1.08,19h49m51.68s,+42d52m58.27s
2846,Kepler-266 c,4472.0,14.4 Earths,15.787,2014,Neptune-like,0.347 x Jupiter,0.457 AU,107.7 days,0,Kepler-289,Transit,5990.0,1.0,1.08,19h49m51.68s,+42d52m58.27s
2847,Kepler-267 b,864.0,37.9 Earths,16.69,2014,Super Earth,1.98 x Earth,0.037 AU,3.4 days,0,Kepler-29,Transit,5378.0,0.73,0.76,19h53m23.61s,+47d29m28.69s
2848,Kepler-267 c,864.0,5.18 Earths,16.69,2014,Neptune-like,2.13 x Earth,0.06 AU,6.9 days,0,Kepler-29,Transit,5378.0,0.73,0.76,19h53m23.61s,+47d29m28.69s
2849,Kepler-267 d,864.0,5.77 Earths,16.69,2014,Neptune-like,0.203 x Jupiter,0.154 AU,28.5 days,0,Kepler-290,Transit,5147.0,0.74,0.8,19h05m38.41s,+42d40m53.45s
2850,Kepler-268 b,2779.0,7.04 Earths,13.844,2014,Neptune-like,0.227 x Jupiter,0.18 AU,25.9 days,0,Kepler-290,Transit,5147.0,0.74,0.8,19h05m38.41s,+42d40m53.45s
2851,Kepler-268 c,2779.0,11.4 Earths,13.844,2014,Neptune-like,0.302 x Jupiter,0.391 AU,83.4 days,0,Kepler-291,Transit,6002.0,1.02,0.9,19h11m39.91s,+42d26m14.16s
2852,Kepler-269 b,7363.0,6.66 Earths,15.646,2014,Neptune-like,0.22 x Jupiter,0.061 AU,5.3 days,0,Kepler-291,Transit,6002.0,1.02,0.9,19h11m39.91s,+42d26m14.16s
2853,Kepler-269 c,7363.0,3.5 Earths,15.646,2014,Super Earth,1.69 x Earth,0.081 AU,8.1 days,0,Kepler-292,Transit,5299.0,0.83,0.85,19h43m03.89s,+42d25m27.42s
